symptoms_text,disease_id
"severe dizziness, severe weakness, persistent fatigue, severe shortness of breath, persistent pale skin, mild rapid heartbeat",0
"severe weakness, fatigue, severe rapid heartbeat",0
"moderate shortness of breath, mild rapid heartbeat, severe fatigue",0
"moderate dizziness, moderate fatigue, mild shortness of breath, persistent pale skin",0
"mild fatigue, moderate shortness of breath, rapid heartbeat, severe dizziness, mild pale skin, weakness",0
"severe dizziness, moderate fatigue, severe pale skin, persistent shortness of breath",0
"shortness of breath, moderate dizziness, moderate rapid heartbeat, moderate fatigue, persistent pale skin",0
"persistent fatigue, persistent weakness, mild shortness of breath, dizziness",0
"dizziness, severe shortness of breath, mild fatigue, moderate weakness",0
"moderate fatigue, mild dizziness",0
"persistent rapid heartbeat, severe pale skin, persistent weakness, mild dizziness, shortness of breath",0
"moderate rapid heartbeat, moderate weakness, persistent shortness of breath, persistent fatigue, pale skin",0
"mild weakness, shortness of breath, mild dizziness",0
"severe dizziness, rapid heartbeat, persistent weakness, moderate shortness of breath",0
"persistent weakness, moderate fatigue, severe dizziness, persistent rapid heartbeat, moderate pale skin, shortness of breath",0
"persistent fatigue, severe pale skin, severe dizziness, mild shortness of breath, persistent weakness",0
"moderate rapid heartbeat, fatigue, persistent weakness, dizziness",0
"moderate weakness, mild shortness of breath, severe fatigue, persistent dizziness, moderate rapid heartbeat",0
"persistent dizziness, moderate pale skin, persistent rapid heartbeat, mild fatigue",0
"shortness of breath, moderate fatigue, moderate weakness",0
"moderate pale skin, severe rapid heartbeat, fatigue",0
"persistent rapid heartbeat, moderate shortness of breath, persistent dizziness",0
"mild fatigue, severe rapid heartbeat",0
"mild fatigue, rapid heartbeat, severe weakness, severe dizziness, persistent pale skin",0
"severe dizziness, mild weakness, persistent fatigue, persistent shortness of breath, severe pale skin",0
"shortness of breath, moderate pale skin, mild dizziness, rapid heartbeat",0
"mild weakness, severe pale skin, severe shortness of breath, rapid heartbeat, mild fatigue",0
"moderate shortness of breath, moderate fatigue, rapid heartbeat, severe dizziness, mild weakness, moderate pale skin",0
"severe pale skin, mild rapid heartbeat, moderate weakness, shortness of breath",0
"shortness of breath, persistent pale skin",0
"severe shortness of breath, moderate pale skin, moderate rapid heartbeat",0
"fatigue, mild shortness of breath, persistent dizziness, mild rapid heartbeat, moderate pale skin",0
"weakness, mild pale skin, rapid heartbeat, mild fatigue",0
"moderate pale skin, dizziness, persistent weakness",0
"weakness, severe rapid heartbeat, moderate pale skin, mild dizziness, severe fatigue",0
"persistent rapid heartbeat, pale skin, severe dizziness, fatigue, persistent weakness, mild shortness of breath",0
"persistent fatigue, pale skin, persistent weakness",0
"weakness, dizziness, persistent pale skin",0
"persistent fatigue, severe weakness, moderate shortness of breath, mild rapid heartbeat",0
"rapid heartbeat, mild pale skin, severe fatigue, moderate dizziness, moderate shortness of breath, mild weakness",0
"weakness, persistent shortness of breath",0
"mild shortness of breath, severe pale skin",0
"mild weakness, severe pale skin",0
"shortness of breath, severe fatigue, moderate dizziness",0
"mild pale skin, weakness, mild fatigue",0
"mild shortness of breath, mild weakness, persistent rapid heartbeat",0
"severe rapid heartbeat, weakness, moderate fatigue, severe shortness of breath, dizziness, moderate pale skin",0
"persistent dizziness, persistent shortness of breath, pale skin, moderate fatigue",0
"mild dizziness, persistent pale skin, fatigue, persistent shortness of breath, mild rapid heartbeat",0
"moderate weakness, pale skin, persistent dizziness",0
"persistent shortness of breath, rapid heartbeat, persistent dizziness, persistent pale skin",0
"mild weakness, severe pale skin, severe rapid heartbeat",0
"moderate dizziness, persistent pale skin, persistent weakness, persistent shortness of breath",0
"persistent rapid heartbeat, moderate pale skin",0
"severe pale skin, severe dizziness, mild fatigue",0
"persistent rapid heartbeat, moderate shortness of breath, mild dizziness, persistent pale skin, moderate fatigue",0
"moderate pale skin, persistent shortness of breath",0
"moderate pale skin, mild dizziness, fatigue, weakness, mild rapid heartbeat",0
"persistent fatigue, mild dizziness, weakness, moderate pale skin, moderate shortness of breath",0
"persistent shortness of breath, severe pale skin, mild dizziness",0
"persistent rapid heartbeat, dizziness, moderate fatigue, persistent weakness",0
"severe rapid heartbeat, severe pale skin, dizziness, persistent fatigue, mild weakness",0
"mild dizziness, rapid heartbeat, severe fatigue, mild weakness",0
"severe rapid heartbeat, fatigue, persistent weakness, persistent dizziness, moderate shortness of breath",0
"persistent weakness, moderate fatigue, persistent pale skin, moderate rapid heartbeat",0
"moderate weakness, moderate rapid heartbeat, moderate fatigue",0
"persistent dizziness, severe weakness, moderate pale skin, severe shortness of breath, rapid heartbeat",0
"moderate weakness, moderate shortness of breath, severe pale skin, mild fatigue",0
"moderate fatigue, persistent weakness, mild dizziness, severe pale skin, mild rapid heartbeat",0
"moderate pale skin, mild fatigue, severe dizziness, severe shortness of breath, moderate rapid heartbeat, mild weakness",0
"persistent weakness, severe dizziness, pale skin, mild fatigue, persistent shortness of breath",0
"persistent pale skin, dizziness, mild shortness of breath, mild rapid heartbeat",0
"severe rapid heartbeat, moderate shortness of breath, persistent pale skin",0
"rapid heartbeat, moderate dizziness, persistent shortness of breath, weakness",0
"dizziness, severe rapid heartbeat, persistent weakness, fatigue",0
"persistent rapid heartbeat, persistent shortness of breath, fatigue, mild dizziness, moderate weakness",0
"persistent pale skin, dizziness, rapid heartbeat, mild weakness",0
"severe pale skin, persistent rapid heartbeat, moderate fatigue",0
"severe fatigue, mild rapid heartbeat, dizziness, mild weakness, severe pale skin",0
"rapid heartbeat, dizziness, fatigue",0
"moderate dizziness, moderate pale skin, mild weakness",0
"persistent fatigue, shortness of breath, severe dizziness, mild pale skin",0
"mild shortness of breath, mild pale skin, mild rapid heartbeat, severe weakness, moderate fatigue",0
"moderate weakness, severe dizziness, pale skin, moderate fatigue, moderate rapid heartbeat",0
"mild rapid heartbeat, severe dizziness, mild fatigue, shortness of breath, persistent pale skin",0
"fatigue, severe pale skin, moderate dizziness, mild rapid heartbeat, severe shortness of breath, weakness",0
"mild fatigue, mild weakness, mild dizziness, mild rapid heartbeat, severe shortness of breath",0
"severe shortness of breath, severe rapid heartbeat, persistent dizziness, moderate pale skin",0
"moderate shortness of breath, severe dizziness, moderate weakness, severe rapid heartbeat, persistent pale skin",0
"persistent weakness, mild rapid heartbeat, persistent dizziness, persistent shortness of breath, moderate fatigue",0
"persistent weakness, moderate rapid heartbeat, shortness of breath",0
"dizziness, severe rapid heartbeat, persistent shortness of breath",0
"weakness, moderate fatigue, severe rapid heartbeat, shortness of breath",0
"severe rapid heartbeat, severe fatigue, persistent shortness of breath, mild dizziness, mild weakness",0
"persistent weakness, shortness of breath, severe fatigue",0
"rapid heartbeat, mild fatigue, persistent weakness",0
"mild dizziness, rapid heartbeat, moderate fatigue",0
"severe weakness, shortness of breath, mild fatigue",0
"severe weakness, mild pale skin, moderate dizziness, rapid heartbeat",0
"weakness, moderate shortness of breath, moderate fatigue, moderate dizziness",0
"mild shortness of breath, severe dizziness, moderate weakness, severe pale skin, rapid heartbeat",0
"persistent pale skin, fatigue, moderate dizziness, mild shortness of breath",0
"mild weakness, mild pale skin",0
