symptoms_text,disease_id
"persistent severe dehydration, leg cramps, persistent watery diarrhea",9
"mild dark urine, yellowing of skin, moderate pale stools",53
"moderate persistent abdominal pain, moderate loss of appetite, weight loss",47
"moderate weight gain, severe fatigue, persistent cold intolerance, mild dry skin",40
"mild skin changes, nipple discharge, persistent breast lump",30
"pelvic pain, abnormal bleeding, moderate pain during intercourse",31
"severe severe headache, moderate skin rash, mild joint pain",5
"moderate itching, severe scaly skin, hair loss",35
"wheezing, severe shortness of breath, mild fatigue, mild chronic cough",42
"severe confusion, difficulty thinking",26
"mild diarrhea, moderate stomach cramps, moderate vomiting",18
"severe weight loss, shortness of breath, chest pain",49
"moderate tooth loss, severe joint pain, persistent weakness, mild bleeding gums",34
"persistent joint pain, mild fever, persistent skin rash, persistent fatigue",33
"mild loss of appetite, mild fever, diarrhea, moderate abdominal pain, severe weakness",6
"moderate shortness of breath, severe chronic cough, moderate wheezing",42
"mild chest pain, persistent night sweats, persistent weight loss, mild fever, moderate chronic cough",3
"moderate heavy bleeding, persistent painful periods, persistent pelvic pain",43
"persistent chills, severe fever, mild headache",38
"severe upper abdominal pain, persistent fatigue, severe liver discomfort",20
"mild bloating, persistent stomach pain",28
"persistent difficulty breathing, moderate fatigue, mild fever, persistent chest pain",15
"dehydration, mild nausea, persistent loose stools, severe abdominal cramps",7
"moderate bloating, mild stomach pain, mild nausea",28
"bleeding during bowel movements, persistent anal pain, persistent itching",50
"persistent chills, severe body pain, severe fever, severe cough",14
"severe loss of appetite, severe persistent abdominal pain, weight loss",47
"persistent vomiting, severe stomach cramps",18
"mild mouth ulcers, severe difficulty swallowing, mild oral pain",46
"moderate fever, severe confusion, moderate headache",36
"persistent bloating, persistent hard stools",16
"mild cloudy vision, mild night vision difficulty, severe blurred vision",44
"nausea, moderate stomach cramps",18
"joint pain, persistent bleeding gums, moderate weakness, mild tooth loss",34
"severe fever, severe joint pain, moderate red eyes, persistent rash",37
"persistent easy bruising, severe fatigue, mild confusion, persistent abdominal swelling",25
"mild shortness of breath, moderate wheezing, severe fatigue",42
"severe cloudy vision, moderate night vision difficulty",44
"moderate coughing, severe wheezing, severe shortness of breath",13
"severe heat intolerance, severe weight loss, palpitations",41
"moderate blackheads, persistent oily skin",52
"mild heat intolerance, persistent palpitations, moderate tremors",41
"fatigue, moderate weight loss, mild stunted growth",8
"severe stunted growth, persistent weight loss, severe fatigue",8
"severe abdominal pain, moderate dark urine, persistent fatigue",23
"severe frequent urination, severe pelvic pain",32
"severe watery diarrhea, severe dehydration, moderate vomiting",9
"severe slow wound healing, persistent excessive thirst, frequent urination",1
"severe bloating, stomach pain",28
"severe fatigue, severe weight gain, severe dry skin, persistent cold intolerance",40
"severe vision loss, mild blurred vision, mild difficulty seeing",11
"mild chest pain, persistent fever, productive cough",15
"mild nipple discharge, persistent breast pain, breast lump",30
"moderate loose stools, severe dehydration",7
"mild confusion, moderate vomiting, headache, moderate fever",36
"moderate vomiting, severe confusion, moderate headache, persistent fever",36
"severe dizziness, severe confusion, severe dry skin",22
"moderate chest tightness, shortness of breath",13
"severe stiffness, persistent reduced mobility, swelling, joint pain",21
"mild weight loss, persistent cough, persistent chest pain, moderate shortness of breath",49
"moderate thirst, persistent reduced urination, persistent dark urine, persistent dry mouth",10
"moderate skin rash, fever, mild fatigue",33
"persistent hair loss, persistent itching, persistent circular rash, mild scaly skin",35
"moderate pelvic pain, mild pain during intercourse, severe abnormal bleeding",31
"mild night sweats, moderate fatigue, moderate weight loss",45
"moderate difficulty seeing, severe vision loss",11
"nausea, mild stomach cramps, moderate diarrhea",18
"persistent memory loss, mild personality changes, mild confusion, difficulty thinking",26
"moderate nausea, persistent diarrhea, severe vomiting",18
"pelvic pain, mild frequent urination, moderate burning urination",32
"persistent nosebleeds, persistent chest pain, headache, mild dizziness, shortness of breath",2
"moderate weakness, moderate diarrhea",6
"moderate nausea, persistent stomach pain, persistent heartburn",28
"headache, mild shortness of breath, persistent nosebleeds",2
"moderate pelvic pain, abnormal bleeding, mild pain during intercourse",31
"severe nausea, mild vomiting, diarrhea",18
"persistent slow wound healing, mild blurred vision, mild frequent urination, persistent excessive thirst, mild fatigue",1
"moderate scaling, severe itchy skin, dry skin",51
"severe hard stools, mild abdominal discomfort, severe bloating",16
"severe dry skin, severe red patches",51
"severe tremors, mild slow movement, severe muscle stiffness",29
"severe joint pain, persistent skin rash",33
"severe irregular periods, moderate excess hair growth, persistent weight gain",39
"moderate dry skin, severe cold intolerance, fatigue",40
"burning urination, pelvic pain, persistent frequent urination",32
"persistent blurred vision, moderate distorted vision, moderate vision loss",11
"mild dark urine, persistent pale stools, mild fatigue",53
"fatigue, nausea, loss of appetite",24
"severe excessive thirst, blurred vision, fatigue, severe slow wound healing, frequent urination",1
"severe rash, mild fever",37
"moderate itching, hair loss, moderate circular rash",35
"moderate dark urine, moderate abdominal pain, persistent fatigue",23
"persistent confusion, abdominal swelling, moderate easy bruising",25
"fatigue, persistent poor appetite",8
"persistent muscle pain, moderate headache",4
"persistent red eyes, persistent joint pain, rash",37
"moderate stomach pain, persistent nausea, persistent heartburn",28
"moderate difficulty breathing, productive cough",15
"persistent fatigue, persistent wheezing, chronic cough",42
"persistent tremors, moderate balance problems",29
"mild skin changes, persistent breast pain, nipple discharge",30
"moderate circular rash, persistent scaly skin, moderate itching, hair loss",35
"moderate itching, severe scaly skin, persistent skin redness, mild ring shaped rash",19
"moderate itchy skin, dry skin, moderate red patches",51
"stomach cramps, severe nausea, mild diarrhea",18
"persistent headache, mild chest pain, moderate nosebleeds, shortness of breath, severe dizziness",2
"red eyes, severe gritty sensation",12
"severe wheezing, moderate shortness of breath, severe coughing",13
"severe palpitations, persistent weight loss, tremors, mild heat intolerance",41
"severe weight loss, mild chest pain, severe shortness of breath, persistent cough",49
"severe ring shaped rash, mild itching, moderate scaly skin",19
"acne, weight gain, mild excess hair growth",39
"reduced mobility, severe swelling, moderate stiffness",21
"severe upper abdominal pain, fatigue, persistent liver discomfort",20
"vomiting, persistent leg cramps, watery diarrhea",9
"irregular periods, moderate acne",39
"mild fatigue, moderate upper abdominal pain, moderate weight gain, moderate liver discomfort",20
"persistent red patches, itchy skin, moderate scaling",51
"severe vomiting, confusion, mild headache",36
"hard stools, persistent bloating, mild abdominal discomfort",16
"nausea, moderate loss of appetite, persistent fatigue",24
"mild hard stools, severe abdominal discomfort, bloating",16
"moderate pelvic pain, abnormal bleeding, persistent pain during intercourse",31
"loss of appetite, nausea, mild jaundice",24
"chest tightness, mild shortness of breath, severe wheezing",13
"moderate fever, mild chest pain, mild weight loss, severe chronic cough",3
"blackheads, persistent oily skin",52
"moderate itchy skin, red patches",51
"blurred vision, mild slow wound healing, moderate fatigue",1
"mild facial pain, headache, persistent nasal congestion, mild post nasal drip",17
"moderate itching, severe jaundice, mild weight loss",48
moderate pain during intercourse,31
"chills, severe cough, persistent sore throat, moderate fever",14
"weight gain, persistent fatigue",20
persistent weight loss,49
"persistent wheezing, persistent chronic cough",42
"mild pelvic pain, mild frequent urination, burning urination",32
"mild post nasal drip, moderate headache",17
"moderate burning stomach pain, moderate indigestion, nausea",27
"moderate fatigue, moderate frequent infections, severe weight loss",45
"mild thirst, severe reduced urination, persistent dark urine",10
"persistent sore throat, mild chills, persistent body pain",14
"headache, severe dizziness, persistent chest pain, moderate shortness of breath, severe nosebleeds",2
"mild scaling, mild dry skin, persistent red patches",51
"severe yellowing of skin, severe dark urine, severe fatigue, mild pale stools",53
"moderate sore throat, mild body pain, moderate cough",14
"persistent confusion, severe personality changes, memory loss",26
"severe oral pain, moderate difficulty swallowing, mouth ulcers",46
"mild distorted vision, persistent blurred vision, severe difficulty seeing, moderate vision loss",11
"persistent excess hair growth, acne, moderate irregular periods",39
"moderate scaly skin, persistent circular rash, mild itching",35
"persistent fever, mild headache, confusion",36
"persistent dry skin, mild dizziness",22
"moderate jaundice, itching, weight loss",48
"mild weight gain, acne, severe excess hair growth",39
"severe thirst, persistent dry mouth, severe dark urine",10
"moderate joint pain, moderate reduced mobility, swelling",21
"red patches, moderate scaling",51
"moderate fever, severe night sweats",3
"severe dizziness, severe weakness, persistent fatigue, severe shortness of breath, persistent pale skin, mild rapid heartbeat",0
"moderate vomiting, mild headache, severe confusion",36
"severe fever, chills, persistent body pain, severe cough, sore throat",14
"severe weakness, persistent joint pain, moderate tooth loss",34
"moderate high body temperature, persistent confusion, severe dry skin, mild dizziness",22
"moderate fatigue, moderate upper abdominal pain, severe liver discomfort",20
"moderate mouth ulcers, persistent difficulty swallowing, oral pain",46
"mild nasal congestion, severe headache, moderate facial pain, post nasal drip",17
persistent abdominal pain,23
"bloating, hard stools, moderate abdominal discomfort",16
"persistent nausea, mild jaundice, persistent loss of appetite, mild fatigue",24
"persistent facial pain, severe post nasal drip, mild headache, nasal congestion",17
"weakness, mild shortness of breath, severe fatigue, moderate rapid heartbeat, mild pale skin, dizziness",0
"severe persistent cough, moderate chest pain, weight loss",49
"severe mouth ulcers, mild oral pain, mild difficulty swallowing",46
"persistent chills, severe fever, body pain",14
"wheezing, mild coughing",13
"heavy bleeding, moderate painful periods, moderate pelvic pain",43
"painful periods, severe heavy bleeding, severe pelvic pain",43
"itching, persistent gritty sensation, mild eye discharge, severe red eyes",12
"moderate nausea, dehydration, severe loose stools",7
"upper abdominal pain, mild fatigue, moderate liver discomfort",20
"persistent blurred vision, severe cloudy vision, moderate night vision difficulty",44
"mild loss of appetite, persistent persistent abdominal pain, weight loss",47
"severe chronic cough, moderate night sweats, moderate weight loss, persistent chest pain, moderate fever",3
"fatigue, moderate shortness of breath",42
"fatigue, severe night sweats, persistent frequent infections, persistent weight loss",45
"moderate difficulty breathing, severe fatigue, persistent fever",15
"moderate bleeding during bowel movements, moderate anal pain, itching",50
"moderate fatigue, moderate jaundice, persistent nausea",24
"moderate nausea, indigestion, persistent burning stomach pain",27
"productive cough, severe fever, severe chest pain",15
"severe breast pain, moderate breast lump, moderate skin changes, nipple discharge",30
"severe red eyes, persistent rash",37
"fatigue, moderate confusion, persistent easy bruising",25
"persistent chronic cough, moderate night sweats, moderate fever, severe weight loss",3
"moderate frequent urination, fatigue, mild excessive thirst",1
"persistent stomach cramps, severe diarrhea, mild vomiting, severe nausea",18
"moderate shortness of breath, severe chest tightness, coughing",13
"red patches, moderate itchy skin, persistent dry skin, persistent scaling",51
"mild weakness, moderate fever, diarrhea, persistent abdominal pain",6
"mild red eyes, persistent gritty sensation",12
"mild blurred vision, cloudy vision, mild night vision difficulty",44
"moderate skin rash, severe headache",5
"rash, moderate headache, persistent muscle pain, moderate joint pain",4
"severe body pain, moderate cough, severe fever",14
"persistent chest pain, night sweats, severe weight loss, moderate fever, severe chronic cough",3
"mild burning stomach pain, indigestion",27
"severe confusion, severe dry skin",22
"moderate pelvic pain, mild abnormal bleeding",31
"mild high body temperature, persistent dizziness, confusion",22
"persistent reduced urination, thirst",10
"severe nausea, moderate stomach pain, moderate heartburn",28
mild frequent urination,1
"moderate burning stomach pain, mild indigestion, persistent nausea",27
"fatigue, severe pale skin, moderate dizziness, mild rapid heartbeat, severe shortness of breath, weakness",0
"blurred vision, persistent cloudy vision, moderate night vision difficulty",44
"persistent joint pain, moderate red eyes, severe rash, persistent fever",37
"mild dark urine, moderate jaundice",23
"nausea, mild abdominal cramps",7
"persistent itchy skin, dry skin, red patches",51
"persistent heat intolerance, weight loss, mild palpitations",41
"persistent reduced mobility, moderate stiffness, severe swelling, persistent joint pain",21
"moderate stiffness, mild joint pain, moderate swelling",21
"severe palpitations, severe weight loss, severe tremors",41
"persistent heat intolerance, moderate weight loss, moderate tremors",41
"itching, moderate bleeding during bowel movements, mild anal pain",50
"persistent joint pain, fever, moderate fatigue, severe skin rash",33
persistent cough,14
"persistent tremors, severe slow movement, moderate balance problems",29
"moderate rapid heartbeat, moderate weakness, persistent shortness of breath, persistent fatigue, pale skin",0
"mild slow movement, tremors, persistent muscle stiffness, severe balance problems",29
"moderate slow wound healing, blurred vision, severe excessive thirst, mild fatigue",1
"moderate tremors, mild heat intolerance, moderate palpitations",41
"mild painful periods, persistent pelvic pain",43
"abdominal swelling, mild easy bruising, persistent confusion, moderate fatigue",25
"moderate pale skin, persistent shortness of breath",0
"severe persistent cough, severe chest pain",49
"abnormal bleeding, severe pain during intercourse",31
"mild dry skin, moderate high body temperature, persistent dizziness, severe confusion",22
"moderate weight gain, mild irregular periods, excess hair growth",39
"moderate hair loss, severe circular rash, severe scaly skin, mild itching",35
"moderate dry skin, mild cold intolerance, persistent weight gain",40
"mild bleeding during bowel movements, mild anal pain, moderate itching",50
"persistent fatigue, mild weight loss, persistent night sweats",45
"thirst, persistent reduced urination, mild dark urine",10
"severe abdominal swelling, moderate confusion, persistent fatigue, severe easy bruising",25
"fever, severe confusion, persistent vomiting",36
"moderate weight loss, mild persistent abdominal pain",47
"severe wheezing, moderate shortness of breath, mild fatigue, persistent chronic cough",42
"severe poor appetite, stunted growth, moderate weight loss",8
"mild pain during intercourse, severe abnormal bleeding, persistent pelvic pain",31
"severe shortness of breath, mild nosebleeds, severe chest pain, moderate dizziness, headache",2
"scaly skin, mild ring shaped rash, skin redness, itching",19
"mild balance problems, tremors",29
"moderate fatigue, severe wheezing",42
"mild fatigue, severe abdominal swelling",25
"mild chills, severe fever",38
"persistent facial pain, persistent post nasal drip, persistent nasal congestion",17
"pain during intercourse, moderate pelvic pain",31
"persistent fatigue, severe productive cough, fever",15
"mild burning urination, persistent frequent urination",32
"mild frequent urination, persistent burning urination, mild pelvic pain",32
persistent high fever,5
moderate post nasal drip,17
"persistent productive cough, mild difficulty breathing, mild fatigue, fever",15
"persistent vomiting, persistent headache, severe confusion",36
persistent mouth ulcers,46
"persistent itching, anal pain, persistent bleeding during bowel movements",50
"moderate difficulty thinking, confusion, personality changes",26
"severe blurred vision, moderate cloudy vision",44
"confusion, mild difficulty thinking, severe personality changes",26
"moderate dry skin, persistent weight gain, severe cold intolerance, severe fatigue",40
"tooth loss, joint pain",34
"moderate vomiting, mild leg cramps, severe watery diarrhea",9
"persistent slow movement, moderate muscle stiffness, severe balance problems",29
"moderate dry skin, persistent scaling, mild itchy skin",51
severe facial pain,17
"moderate rash, moderate fever, moderate red eyes",37
"night vision difficulty, cloudy vision",44
"reduced urination, mild thirst, severe dark urine",10
"severe pelvic pain, severe burning urination",32
"mild nausea, moderate fatigue",24
"severe fatigue, mild liver discomfort",20
"chest pain, weight loss, mild chronic cough, night sweats",3
"moderate loss of appetite, weight loss",47
"severe eye discharge, severe red eyes, itching, moderate gritty sensation",12
"severe pale skin, moderate fatigue, mild shortness of breath",0
"wheezing, moderate shortness of breath, mild chest tightness",13
"severe abdominal pain, fever, mild weakness",6
"moderate fatigue, mild confusion, persistent easy bruising",25
"severe upper abdominal pain, moderate weight gain, liver discomfort, fatigue",20
"persistent nasal congestion, moderate post nasal drip, moderate facial pain",17
"moderate personality changes, memory loss, confusion, persistent difficulty thinking",26
"moderate high body temperature, moderate dizziness",22
"persistent skin changes, moderate nipple discharge, breast lump",30
"moderate skin rash, bleeding gums, persistent severe headache, mild high fever, severe joint pain",5
"mild diarrhea, moderate weakness, severe fever",6
"wheezing, mild chronic cough, shortness of breath",42
"moderate loss of appetite, persistent persistent abdominal pain",47
"persistent facial pain, persistent nasal congestion, persistent headache",17
"mild itching, mild anal pain",50
